date,company name,role,location,event
2026-04-22,Robert Half,Jr. Operations Engineer,"New York, NY",bookmarked
2026-04-23,JPMorganChase,Technology Support III - Production / Application Support - Trading,"New York, NY",bookmarked
2026-04-23,Jefferies,"Fixed Income Production Support, AVP","New York, NY",bookmarked
2026-04-24,Tradeweb,Junior Application Support Engineer,"Jersey City, NJ",bookmarked
2026-04-24,Hudson River Trading,Electronic Trading Support Engineer,"New York, NY",bookmarked
2026-04-24,hackajob,Production Support Analyst,"New York, NY",bookmarked
2026-04-24,Smart State,Quality Assurance Tester,"Fort Lee, NJ",bookmarked
2026-04-24,Made Card,Quality Assurance (QA) Engineer,"New York, NY",bookmarked
2026-04-27,TalentAlly,Business Analyst,"Berkeley Heights, NJ",bookmarked
2026-04-27,Citi,"Prime Finance Senior Business Analyst, Vice President","New York, NY",bookmarked
2026-04-27,LSEG,"Senior Business Analyst – Product Development, TradeAgent","New York, NY",bookmarked
2026-04-28,Pinnacle Method Consulting,Operational Business Analyst,United States,bookmarked
2026-04-28,Infosys,Test Automation Consultant,"Jersey City, NJ",bookmarked
2026-05-01,Makai Labs,Business Analyst,"New York, NY",bookmarked
2026-05-14,"AISI AEGIS Insurance Services, Inc.",Senior Business Analyst,"Jersey City, NJ (HQ)",bookmarked
2026-05-15,"SpikeIT Global Solutions, Inc.",Sr Business Analyst,"Oakland, CA",bookmarked
2026-05-15,"SpikeIT Global Solutions, Inc.",Sr Business Analyst,"Oakland, CA",applying
2026-05-15,"SpikeIT Global Solutions, Inc.",Sr Business Analyst,"Oakland, CA",i_withdrew
2026-05-18,"AISI AEGIS Insurance Services, Inc.",Senior Business Analyst,"Jersey City, NJ (HQ)",interviewing
2026-05-24,Blee,Business Operations Analyst,"New York, NY",bookmarked
2026-05-24,Neuberger,Senior Program Manager / Business Analyst (Asset Management),"New York, NY",bookmarked
2026-05-29,Deloitte,Unqork Business Analyst,"New York, NY",bookmarked
2026-05-29,ZT Systems,Staff IT Enterprise Applications Analyst,"Secaucus, NJ",bookmarked
2026-05-29,Jobs via Dice,Business System Analyst,"Oyster Bay, NY",bookmarked
2026-05-29,Fox Television Stations,"Support Specialist, Operations & Support",United States,bookmarked
2026-05-29,Fixify,Senior IT Operations Analyst,United States,bookmarked
2026-05-29,Cursor,Support Operations Systems Lead,United States,bookmarked
2026-05-29,Mercer Advisors,Infrastructure Operations Specialist,United States,bookmarked
2026-05-29,Pelham Berkeley Search,Sr Systems Analyst,"New York, NY",bookmarked
2026-05-29,The Depository Trust & Clearing Corporation (DTCC),Lead Business Systems Analyst,"Jersey City, NJ",bookmarked
2026-05-29,Atlas Search,Business System Analyst,"Greenwich, CT",bookmarked
2026-05-29,"PMO Partners, LLC",Business Analyst,"Jericho, NY",bookmarked
2026-05-30,Tata Consultancy Services,Business Analyst -Artificial Intelligence,,bookmarked
2026-05-30,Genesis10,"Senior Systems Specialist, Business Development Platforms - Hybrid","New York, NY",bookmarked
2026-06-01,Makai Labs,Business Analyst,"New York, NY",bookmarked
2026-06-01,Michael Baker International,Software Requirements Analyst (GIS),"United States,",bookmarked
2026-06-01,ICF,IT Business Analyst,"Portland, OR",bookmarked
2026-06-01,VNS Health,Enterprise Applications Analyst (Workday & Enterprise Systems),"New York, NY",bookmarked
2026-06-03,NJ TRANSIT,Principal Technical Business Analyst,"Newark, NJ",bookmarked
2026-06-03,Incedo Inc.,Senior Business Systems Analyst,"New York, NY",bookmarked
2026-06-05,Payabli,Operational Specialist,United States,bookmarked
2026-06-05,Atlas Search,Business Analyst,New York City Metropolitan Area,bookmarked
2026-06-05,Citi,IT Business Senior Analyst,"New York, NY",bookmarked
2026-06-05,Amtex Systems Inc,Business Analyst / Project Manager with financial benchmark data Experience,"New York, NY",bookmarked
2026-06-05,FINBOURNE Technology,Senior Application Support Analyst,"New York, NY",bookmarked
2026-06-05,Barclays,Application Support Analyst,"Whippany, NJ",bookmarked
